Index,0:？,1:？
0,TEXT_JOBSAM501_02560_SEQ_00,剑术师行会的无双斋正用锐利的眼神打量着成为了武士的冒险者。
1,TEXT_JOBSAM501_02560_SEQ_01,无双斋建议冒险者在开始比试前认真准备一番。<br>准备好后和无双斋谈谈。
2,TEXT_JOBSAM501_02560_SEQ_02,冒险者先是用出了对无双斋构成威胁的攻击，后又击败了横插进来的贝罗阿尔德。和剑术师行会的无双斋对话。
3,TEXT_JOBSAM501_02560_SEQ_03,和无双斋进行了交谈。原来他从远东之国来到艾欧泽亚，就是为了收一个徒弟。冒险者成为了无双斋的弟子，将继承无双斋的剑道。为了学习身为武士要遵守的信条，和乌尔达哈流沙屋的无双斋谈谈。
4,TEXT_JOBSAM501_02560_SEQ_04,无双斋为冒险者讲述了何为武士之大义。武士是铲奸除恶维护和平之人。冒险者将在艾欧泽亚通过行侠仗义来完成武士的修行。无双斋和活动策划莫莫吉格会先在乌尔达哈寻找需要打击的邪恶。努力锻炼一段时间后，再来拜访无双斋。<br><br>※武士的等级达到52级以上时，可以从流沙屋的无双斋那里领取下一个武士任务。
5,TEXT_JOBSAM501_02560_SEQ_05,
6,TEXT_JOBSAM501_02560_SEQ_06,
7,TEXT_JOBSAM501_02560_SEQ_07,
8,TEXT_JOBSAM501_02560_SEQ_08,
9,TEXT_JOBSAM501_02560_SEQ_09,
10,TEXT_JOBSAM501_02560_SEQ_10,
11,TEXT_JOBSAM501_02560_SEQ_11,
12,TEXT_JOBSAM501_02560_SEQ_12,
13,TEXT_JOBSAM501_02560_SEQ_13,
14,TEXT_JOBSAM501_02560_SEQ_14,
15,TEXT_JOBSAM501_02560_SEQ_15,
16,TEXT_JOBSAM501_02560_SEQ_16,
17,TEXT_JOBSAM501_02560_SEQ_17,
18,TEXT_JOBSAM501_02560_SEQ_18,
19,TEXT_JOBSAM501_02560_SEQ_19,
20,TEXT_JOBSAM501_02560_SEQ_20,
21,TEXT_JOBSAM501_02560_SEQ_21,
22,TEXT_JOBSAM501_02560_SEQ_22,
23,TEXT_JOBSAM501_02560_SEQ_23,
24,TEXT_JOBSAM501_02560_TODO_00,和无双斋对话
25,TEXT_JOBSAM501_02560_TODO_01,和无双斋对话
26,TEXT_JOBSAM501_02560_TODO_02,和流沙屋的无双斋对话
27,TEXT_JOBSAM501_02560_TODO_03,
28,TEXT_JOBSAM501_02560_TODO_04,
29,TEXT_JOBSAM501_02560_TODO_05,
30,TEXT_JOBSAM501_02560_TODO_06,
31,TEXT_JOBSAM501_02560_TODO_07,
32,TEXT_JOBSAM501_02560_TODO_08,
33,TEXT_JOBSAM501_02560_TODO_09,
34,TEXT_JOBSAM501_02560_TODO_10,
35,TEXT_JOBSAM501_02560_TODO_11,
36,TEXT_JOBSAM501_02560_TODO_12,
37,TEXT_JOBSAM501_02560_TODO_13,
38,TEXT_JOBSAM501_02560_TODO_14,
39,TEXT_JOBSAM501_02560_TODO_15,
40,TEXT_JOBSAM501_02560_TODO_16,
41,TEXT_JOBSAM501_02560_TODO_17,
42,TEXT_JOBSAM501_02560_TODO_18,
43,TEXT_JOBSAM501_02560_TODO_19,
44,TEXT_JOBSAM501_02560_TODO_20,
45,TEXT_JOBSAM501_02560_TODO_21,
46,TEXT_JOBSAM501_02560_TODO_22,
