Index,0:？,1:？
0,TEXT_CLSHRV680_02623_SEQ_00,绿地菜园的艾德姬丝想向冒险者报告成果。
1,TEXT_CLSHRV680_02623_SEQ_01,据艾德姬丝所说，第一代改良品种全部枯死了。弗弗茶就此事似乎有话要告诉冒险者。和格里达尼亚园艺工行会的弗弗茶谈谈。
2,TEXT_CLSHRV680_02623_SEQ_02,和弗弗茶进行了交谈。由于园艺工行会也找不出新薯枯死的原因，弗弗茶希望冒险者也来帮忙调查。调查田园郡绿地菜园的{{EObj|2008181|0}}。
3,TEXT_CLSHRV680_02623_SEQ_03,调查了{{EObj|2008181|0}}。再次调查绿地菜园的{{EObj|2008181|0}}。
4,TEXT_CLSHRV680_02623_SEQ_04,获得了{{EventItem|2002166|0}}。将{{EventItem|2002166|0}}交给绿地菜园的艾德姬丝。
5,TEXT_CLSHRV680_02623_SEQ_05,将{{EventItem|2002166|0}}交给了艾德姬丝。她好像察觉到了什么，拜托冒险者购买用于确认原因的试剂。将{{EventItem|2002167|0}}交给斯提克奇克斯工房的戈尔德奥克斯。
6,TEXT_CLSHRV680_02623_SEQ_06,将{{EventItem|2002167|0}}交给了戈尔德奥克斯。但制作{{EventItem|2002168|0}}的材料似乎不够。将8个{{ItemHQ|17947|0}}交给斯提克奇克斯工房的戈尔德奥克斯。可以在红玉海螺旋海峡的草场上采到{{ItemHQ|17947|0}}。
7,TEXT_CLSHRV680_02623_SEQ_07,将{{ItemHQ|17947|0}}交给了戈尔德奥克斯，获得了{{EventItem|2002168|0}}。将{{EventItem|2002168|0}}交给绿地菜园的艾德姬丝。
8,TEXT_CLSHRV680_02623_SEQ_08,将{{EventItem|2002168|0}}交给了艾德姬丝。使用试剂检测后，发现杂交第一代作物枯死的原因是一种叫线虫的虫子。在弗弗茶他们调查的时候，以防万一继续磨练园艺工的技术。<br><br>※园艺师的等级达到70级以上时，可以从田园郡绿地菜园的艾德姬丝那里领取下一个园艺师任务。
9,TEXT_CLSHRV680_02623_SEQ_09,
10,TEXT_CLSHRV680_02623_SEQ_10,
11,TEXT_CLSHRV680_02623_SEQ_11,
12,TEXT_CLSHRV680_02623_SEQ_12,
13,TEXT_CLSHRV680_02623_SEQ_13,
14,TEXT_CLSHRV680_02623_SEQ_14,
15,TEXT_CLSHRV680_02623_SEQ_15,
16,TEXT_CLSHRV680_02623_SEQ_16,
17,TEXT_CLSHRV680_02623_SEQ_17,
18,TEXT_CLSHRV680_02623_SEQ_18,
19,TEXT_CLSHRV680_02623_SEQ_19,
20,TEXT_CLSHRV680_02623_SEQ_20,
21,TEXT_CLSHRV680_02623_SEQ_21,
22,TEXT_CLSHRV680_02623_SEQ_22,
23,TEXT_CLSHRV680_02623_SEQ_23,
24,TEXT_CLSHRV680_02623_TODO_00,和园艺工行会的弗弗茶对话
25,TEXT_CLSHRV680_02623_TODO_01,调查田园郡的{{EObj|2008181|0}}
26,TEXT_CLSHRV680_02623_TODO_02,再次调查{{EObj|2008181|0}}
27,TEXT_CLSHRV680_02623_TODO_03,将{{EventItem|2002166|0}}交给艾德姬丝
28,TEXT_CLSHRV680_02623_TODO_04,将{{EventItem|2002167|0}}交给戈尔德奥克斯
29,TEXT_CLSHRV680_02623_TODO_05,<if (<var:1> < <var:2>) { 在螺旋海峡采集{{ItemHQ|17947|0}} } else { 将{{ItemHQ|17947|0}}交给斯提克奇克斯工房的戈尔德奥克斯 }>
30,TEXT_CLSHRV680_02623_TODO_06,将{{EventItem|2002168|0}}交给艾德姬丝
31,TEXT_CLSHRV680_02623_TODO_07,
32,TEXT_CLSHRV680_02623_TODO_08,
33,TEXT_CLSHRV680_02623_TODO_09,
34,TEXT_CLSHRV680_02623_TODO_10,
35,TEXT_CLSHRV680_02623_TODO_11,
36,TEXT_CLSHRV680_02623_TODO_12,
37,TEXT_CLSHRV680_02623_TODO_13,
38,TEXT_CLSHRV680_02623_TODO_14,
39,TEXT_CLSHRV680_02623_TODO_15,
40,TEXT_CLSHRV680_02623_TODO_16,
41,TEXT_CLSHRV680_02623_TODO_17,
42,TEXT_CLSHRV680_02623_TODO_18,
43,TEXT_CLSHRV680_02623_TODO_19,
44,TEXT_CLSHRV680_02623_TODO_20,
45,TEXT_CLSHRV680_02623_TODO_21,
46,TEXT_CLSHRV680_02623_TODO_22,
47,TEXT_CLSHRV680_02623_TODO_23,
48,TEXT_CLSHRV680_02623_EDGYTH_000_000,啊，冒险者……<br>对不起，都是因为我太没用……<br>有一个坏消息要告诉您……
49,TEXT_CLSHRV680_02623_EDGYTH_000_001,虽然我们成功杂交出了改良新薯的第一代，<br>也发出新芽了，但很快都枯死了。<br>我觉得是某种疾病造成的……
50,TEXT_CLSHRV680_02623_EDGYTH_000_002,有关这件事，弗弗茶大人有话要对我说，<br>希望冒险者也和我一起去……
51,TEXT_CLSHRV680_02623_EDGYTH_000_003,谢谢您愿意来，冒险者。<br>让我们听听弗弗茶大人有什么意见……
52,TEXT_CLSHRV680_02623_FUFUCHA_000_010,你来得正好，<name:玩家全名>。<br>想必你已经听说杂交第一代枯死的事了吧？<br>为了解决这个问题，我正想借助你的力量。
53,TEXT_CLSHRV680_02623_FUFUCHA_000_011,我认为，女王薯抵抗病虫害能力较低，<br>这一特征遗传到了杂交第一代，<br>但具体是什么原因尚未查清。
54,TEXT_CLSHRV680_02623_EDGYTH_000_012,什么？！<br>就连格里达尼亚第一园艺工弗弗茶大人<br>都查不出枯死的原因？！
55,TEXT_CLSHRV680_02623_FUFUCHA_000_013,很遗憾。<br>我们只是将自然的恩惠分享给人们的园艺工，<br>并不知晓自然的一切。
56,TEXT_CLSHRV680_02623_FUFUCHA_000_014,但是我还没有放弃。<br>我会尝试各种方法继续调查，找出原因。
57,TEXT_CLSHRV680_02623_FUFUCHA_000_015,<name:玩家全名>，希望你也能来帮我。<br>首先就请你去调查菜园吧。<br>也许从冒险者的视角能发现什么新东西也说不定。
58,TEXT_CLSHRV680_02623_EDGYTH_000_016,啊，我也跟冒险者一起去。<br>虽然无能的我也许帮不上什么忙……
59,TEXT_CLSHRV680_02623_FUFUCHA_000_017,能够导致植物枯死的原因有很多，<br>不过我想应该并非是管理方面存在问题。<br>恐怕是有其他意想不到的原因……
60,TEXT_CLSHRV680_02623_EDGYTH_000_018,我已经把情况告诉梭尼，<br>让他帮忙在萨雷安的资料里寻找相似情况了。<br>都是因为我没用才会这样……
61,TEXT_CLSHRV680_02623_SYSTEM_000_020,土壤中有非常小的白点……<br>再仔细调查看看。
62,TEXT_CLSHRV680_02623_SYSTEM_100_020,在{{EObj|2008181|0}}里发现了{{EventItem|2002166|0}}！
63,TEXT_CLSHRV680_02623_EDGYTH_110_020,冒险者，您发现了线索？！<br>不愧是冒险者！！<br>能告诉我您找到了什么吗？
64,TEXT_CLSHRV680_02623_EDGYTH_000_020,能告诉我您找到了什么吗？
65,TEXT_CLSHRV680_02623_EDGYTH_000_021,这是……石头？<br>不对，不是……<br>但是弗弗茶大人不可能不注意到……
66,TEXT_CLSHRV680_02623_EDGYTH_000_022,不，一定是我搞错了，<br>弗弗茶大人怎么会出错呢……
