Index,0:？,1:？
0,TEXT_BANANA506_03063_SEQ_00,{{color|id=508|特殊规则： 等级调整（限定职业）}}<br>※本任务需要与接受任务时的职业相同才可继续进行任务。<br><br>威罗迪纳基地的耶夏娜正在寻求着夜间巡逻之光。
1,TEXT_BANANA506_03063_SEQ_01,
2,TEXT_BANANA506_03063_SEQ_02,
3,TEXT_BANANA506_03063_SEQ_03,
4,TEXT_BANANA506_03063_SEQ_04,
5,TEXT_BANANA506_03063_SEQ_05,
6,TEXT_BANANA506_03063_SEQ_06,
7,TEXT_BANANA506_03063_SEQ_07,
8,TEXT_BANANA506_03063_SEQ_08,
9,TEXT_BANANA506_03063_SEQ_09,
10,TEXT_BANANA506_03063_SEQ_10,
11,TEXT_BANANA506_03063_SEQ_11,
12,TEXT_BANANA506_03063_SEQ_12,
13,TEXT_BANANA506_03063_SEQ_13,
14,TEXT_BANANA506_03063_SEQ_14,
15,TEXT_BANANA506_03063_SEQ_15,
16,TEXT_BANANA506_03063_SEQ_16,
17,TEXT_BANANA506_03063_SEQ_17,
18,TEXT_BANANA506_03063_SEQ_18,
19,TEXT_BANANA506_03063_SEQ_19,
20,TEXT_BANANA506_03063_SEQ_20,
21,TEXT_BANANA506_03063_SEQ_21,
22,TEXT_BANANA506_03063_SEQ_22,
23,TEXT_BANANA506_03063_SEQ_23,
24,TEXT_BANANA506_03063_TODO_00,在威罗迪纳河的{{EObj|2009356|0}}使用{{EventItem|2002446|0}}<br>从出现的{{BNpcName|7034|0}}身上获取{{EventItem|2002447|0}}
25,TEXT_BANANA506_03063_TODO_01,将{{EventItem|2002447|0}}交给耶夏娜
26,TEXT_BANANA506_03063_TODO_02,
27,TEXT_BANANA506_03063_TODO_03,
28,TEXT_BANANA506_03063_TODO_04,
29,TEXT_BANANA506_03063_TODO_05,
30,TEXT_BANANA506_03063_TODO_06,
31,TEXT_BANANA506_03063_TODO_07,
32,TEXT_BANANA506_03063_TODO_08,
33,TEXT_BANANA506_03063_TODO_09,
34,TEXT_BANANA506_03063_TODO_10,
35,TEXT_BANANA506_03063_TODO_11,
36,TEXT_BANANA506_03063_TODO_12,
37,TEXT_BANANA506_03063_TODO_13,
38,TEXT_BANANA506_03063_TODO_14,
39,TEXT_BANANA506_03063_TODO_15,
40,TEXT_BANANA506_03063_TODO_16,
41,TEXT_BANANA506_03063_TODO_17,
42,TEXT_BANANA506_03063_TODO_18,
43,TEXT_BANANA506_03063_TODO_19,
44,TEXT_BANANA506_03063_TODO_20,
45,TEXT_BANANA506_03063_TODO_21,
46,TEXT_BANANA506_03063_TODO_22,
47,TEXT_BANANA506_03063_TODO_23,
48,TEXT_BANANA506_03063_ESHANA_000_000,嘶——同志啊，你是引导我们的光。<br>因此，我希望你能帮我们准备夜间巡逻所用的油灯的材料。<br>……我学着人类开了个玩笑，好笑吗？
49,TEXT_BANANA506_03063_ESHANA_000_001,……总之，我想拜托你去收集2份{{EventItem|2002447|0}}，<br>只要打倒富含油脂的{{BNpcName|7034|0}}就可以得到。
50,TEXT_BANANA506_03063_ESHANA_000_002,{{BNpcName|7034|0}}平时会藏起来，但它们很喜欢吃{{EventItem|2002446|0}}。<br>只要把这东西放在威罗迪纳河附近，<br>食欲旺盛的它们就会被气味给引诱出来吧……拜托你了。
51,TEXT_BANANA506_03063_ESHANA_000_010,嘶——你回来了啊。<br>{{EventItem|2002447|0}}收集得怎么样？
52,TEXT_BANANA506_03063_ESHANA_000_011,嘶——有这么多的话，暂时就不用担心油脂不够了。<br>用这个油脂做出的灯油，只要很少的量就能燃烧很长时间，<br>不用频繁地补充。
53,TEXT_BANANA506_03063_ESHANA_000_012,我们阿难陀族自古以来一直使用松明与篝火。<br>而且，制作灯油时所产生的副产品药膏，<br>对我们的肌肤与鳞片可以起到保湿的效果，这一点让我们很中意。
54,TEXT_BANANA506_03063_ESHANA_000_013,也就是说，与灯光一同，你也为我们阿难陀族的肌肤与鳞片……<br>……算了，果然还是只道谢就好吧。<br>谢谢你。
