Index,0:？,1:？
0,TEXT_LUCKZE103_03458_SEQ_00,{{color|id=508|特殊规则： 等级调整}}<br>乔布要塞的卡蕾雅在困扰着。
1,TEXT_LUCKZE103_03458_SEQ_01,※本任务为{{color|id=508|}} 等级调整任务。<br><br>冒险者需要为受到食罪灵的袭击而受伤的士兵制作血清。为了收集材料，和雷克兰德迷途羊倌之森的卡蕾雅谈谈。
2,TEXT_LUCKZE103_03458_SEQ_02,卡蕾雅委托冒险者去采取作为血清原料的毒液。讨伐迷途羊倌之森的{{BNpcName|8502|0}}有几率获得获得{{EventItem|2002667|0}}。
3,TEXT_LUCKZE103_03458_SEQ_03,获得了{{EventItem|2002667|0}}。将{{EventItem|2002667|0}}交给迷途羊倌之森的卡蕾雅。
4,TEXT_LUCKZE103_03458_SEQ_04,将{{EventItem|2002667|0}}交给了卡蕾雅。这样一来就可以顺利做出血清了。
5,TEXT_LUCKZE103_03458_SEQ_05,
6,TEXT_LUCKZE103_03458_SEQ_06,
7,TEXT_LUCKZE103_03458_SEQ_07,
8,TEXT_LUCKZE103_03458_SEQ_08,
9,TEXT_LUCKZE103_03458_SEQ_09,
10,TEXT_LUCKZE103_03458_SEQ_10,
11,TEXT_LUCKZE103_03458_SEQ_11,
12,TEXT_LUCKZE103_03458_SEQ_12,
13,TEXT_LUCKZE103_03458_SEQ_13,
14,TEXT_LUCKZE103_03458_SEQ_14,
15,TEXT_LUCKZE103_03458_SEQ_15,
16,TEXT_LUCKZE103_03458_SEQ_16,
17,TEXT_LUCKZE103_03458_SEQ_17,
18,TEXT_LUCKZE103_03458_SEQ_18,
19,TEXT_LUCKZE103_03458_SEQ_19,
20,TEXT_LUCKZE103_03458_SEQ_20,
21,TEXT_LUCKZE103_03458_SEQ_21,
22,TEXT_LUCKZE103_03458_SEQ_22,
23,TEXT_LUCKZE103_03458_SEQ_23,
24,TEXT_LUCKZE103_03458_TODO_00,和迷途羊倌之森的卡蕾雅对话
25,TEXT_LUCKZE103_03458_TODO_01,讨伐{{BNpcName|8502|0}}后获取其身上可能会掉落的{{EventItem|2002667|0}}
26,TEXT_LUCKZE103_03458_TODO_02,将{{EventItem|2002667|0}}交给卡蕾雅
27,TEXT_LUCKZE103_03458_TODO_03,
28,TEXT_LUCKZE103_03458_TODO_04,
29,TEXT_LUCKZE103_03458_TODO_05,
30,TEXT_LUCKZE103_03458_TODO_06,
31,TEXT_LUCKZE103_03458_TODO_07,
32,TEXT_LUCKZE103_03458_TODO_08,
33,TEXT_LUCKZE103_03458_TODO_09,
34,TEXT_LUCKZE103_03458_TODO_10,
35,TEXT_LUCKZE103_03458_TODO_11,
36,TEXT_LUCKZE103_03458_TODO_12,
37,TEXT_LUCKZE103_03458_TODO_13,
38,TEXT_LUCKZE103_03458_TODO_14,
39,TEXT_LUCKZE103_03458_TODO_15,
40,TEXT_LUCKZE103_03458_TODO_16,
41,TEXT_LUCKZE103_03458_TODO_17,
42,TEXT_LUCKZE103_03458_TODO_18,
43,TEXT_LUCKZE103_03458_TODO_19,
44,TEXT_LUCKZE103_03458_TODO_20,
45,TEXT_LUCKZE103_03458_TODO_21,
46,TEXT_LUCKZE103_03458_TODO_22,
47,TEXT_LUCKZE103_03458_TODO_23,
48,TEXT_LUCKZE103_03458_NIELDEN_100_000,我这有了点麻烦事，<br>详细情况你去问问卡蕾雅吧。
49,TEXT_LUCKZE103_03458_CALLEA_000_000,在你去水晶都的这段期间，<br>有位急病患者被送到了这里。<br>现在正在塔里面的诊所休息着……
50,TEXT_LUCKZE103_03458_NIELDEN_000_001,被送过来的患者是这个乔布要塞的士兵。<br>据跟他一起行动的士兵说，<br>他在巡逻警戒任务中被独行食罪灵袭击了。
51,TEXT_LUCKZE103_03458_NIELDEN_000_002,而且那个食罪灵好像是有毒的。<br>我看他已经中毒很深，<br>不能再让他随意走动了。
52,TEXT_LUCKZE103_03458_CALLEA_000_003,我在整理父亲遗物的过程中，找到了一本笔记。<br>里面记载着父亲之前制作过的药品的配方。<br>将这个作为参考的话，我想我应该也能做出血清吧。
53,TEXT_LUCKZE103_03458_CALLEA_000_004,……不过血清的制作需要毒液作为材料。<br>可是毒液却很容易变质，<br>所以必须在采取后就立刻开始进行制作……
54,TEXT_LUCKZE103_03458_CALLEA_000_005,乔布要塞的人们都对我很亲切友好，<br>所以我绝对不想让他们出任何事。<br>幸好需要的毒液可以从栖息在这附近的魔物身上采取到。
55,TEXT_LUCKZE103_03458_CALLEA_000_006,<name:玩家全名>，拜托你了！<br>请你去帮我采些毒液吧！<br>我也会跟着你一起去，然后当场做出血清！
56,TEXT_LUCKZE103_03458_NIELDEN_000_007,那就也带着我一起去！<br>我好歹是个卫兵，论讨伐魔物的话……
57,TEXT_LUCKZE103_03458_CALLEA_000_008,不，涅尔登叔叔就留在这里，<br>我把止痛药留给你，<br>麻烦你去照看病人。
58,TEXT_LUCKZE103_03458_NIELDEN_000_009,……我知道了，你们一路小心。
59,TEXT_LUCKZE103_03458_CALLEA_000_010,那<name:玩家全名>，咱们出发吧！<br>{{BNpcName|8502|0}}应该栖息在西边的森林里！
60,TEXT_LUCKZE103_03458_CALLEA_000_020,从栖息在这附近的{{BNpcName|8502|0}}身上，<br>应该能采到制作血清所需要的{{EventItem|2002667|0}}。<br>请你打倒{{BNpcName|8502|0}}进行采取。
61,TEXT_LUCKZE103_03458_CALLEA_100_021,父亲的笔记中记载说毒液非常容易变质。<br>要是没能采集到的优质的{{EventItem|2002667|0}}，<br>就请你继续打倒别的{{BNpcName|8502|0}}进行采取。
62,TEXT_LUCKZE103_03458_CALLEA_000_021,采到{{EventItem|2002667|0}}后就交给我吧。<br>我会马上在这里开始制作血清……<br>这想必不是一件轻松的工作，请你务必帮忙，拜托你了！
63,TEXT_LUCKZE103_03458_CALLEA_000_022,从栖息在这附近的{{BNpcName|8502|0}}身上，<br>应该能采到制作血清所需要的{{EventItem|2002667|0}}。<br>请你打倒{{BNpcName|8502|0}}进行采取。
64,TEXT_LUCKZE103_03458_CALLEA_000_030,<name:玩家全名>，你采到毒液了吗？
65,TEXT_LUCKZE103_03458_CALLEA_000_031,啊，谢谢你！<br>这样就可以顺利地制作出血清了！
