Index,0:？,1:？
0,TEXT_LUCKYA002_03596_SEQ_00,废船街发愁的鳍人族正在寻找冒险者。
1,TEXT_LUCKYA002_03596_SEQ_01,和发愁的鳍人族进行了交谈。大嘴巨兽的存在威胁了鳍人族的生存。为了探寻巨兽来自何处，和亚马乌罗提的人民行政局接待员谈谈。
2,TEXT_LUCKYA002_03596_SEQ_02,和人民行政局接待员进行了交谈。大嘴巨兽好像是阿尼德罗学院创造出来的新生物。前往阿尼德罗学院支部，向了解创造物管理情况的学院职员询问详情。
3,TEXT_LUCKYA002_03596_SEQ_03,阿尼德罗学院支部的学院职员准许冒险者参观阿尼德罗学院。在学院内进行探索。<br><br>※可以通过任务搜索器参加。
4,TEXT_LUCKYA002_03596_SEQ_04,突破了阿尼德罗学院。向阿尼德罗学院支部的学院职员报告参观结束。
5,TEXT_LUCKYA002_03596_SEQ_05,和学院职员进行了交谈。在阿尼德罗学院好像进行着超越了人类智慧的研究，可是却没有制定好针对大嘴巨兽的具体对策。向游末邦废船街的发愁的鳍人族报告此事。
6,TEXT_LUCKYA002_03596_SEQ_06,发愁的鳍人族好像准备自己去制定方法对付大嘴巨兽。事件尚留消失的研究者影子以及有人入侵过的痕迹等未解之谜，不知会有怎样的结局。
7,TEXT_LUCKYA002_03596_SEQ_07,
8,TEXT_LUCKYA002_03596_SEQ_08,
9,TEXT_LUCKYA002_03596_SEQ_09,
10,TEXT_LUCKYA002_03596_SEQ_10,
11,TEXT_LUCKYA002_03596_SEQ_11,
12,TEXT_LUCKYA002_03596_SEQ_12,
13,TEXT_LUCKYA002_03596_SEQ_13,
14,TEXT_LUCKYA002_03596_SEQ_14,
15,TEXT_LUCKYA002_03596_SEQ_15,
16,TEXT_LUCKYA002_03596_SEQ_16,
17,TEXT_LUCKYA002_03596_SEQ_17,
18,TEXT_LUCKYA002_03596_SEQ_18,
19,TEXT_LUCKYA002_03596_SEQ_19,
20,TEXT_LUCKYA002_03596_SEQ_20,
21,TEXT_LUCKYA002_03596_SEQ_21,
22,TEXT_LUCKYA002_03596_SEQ_22,
23,TEXT_LUCKYA002_03596_SEQ_23,
24,TEXT_LUCKYA002_03596_TODO_00,和人民行政局接待员对话
25,TEXT_LUCKYA002_03596_TODO_01,和学院职员对话
26,TEXT_LUCKYA002_03596_TODO_02,突破创造机构阿尼德罗学院
27,TEXT_LUCKYA002_03596_TODO_03,和学院职员对话
28,TEXT_LUCKYA002_03596_TODO_04,向废船街发愁的鳍人族报告
29,TEXT_LUCKYA002_03596_TODO_05,
30,TEXT_LUCKYA002_03596_TODO_06,
31,TEXT_LUCKYA002_03596_TODO_07,
32,TEXT_LUCKYA002_03596_TODO_08,
33,TEXT_LUCKYA002_03596_TODO_09,
34,TEXT_LUCKYA002_03596_TODO_10,
35,TEXT_LUCKYA002_03596_TODO_11,
36,TEXT_LUCKYA002_03596_TODO_12,
37,TEXT_LUCKYA002_03596_TODO_13,
38,TEXT_LUCKYA002_03596_TODO_14,
39,TEXT_LUCKYA002_03596_TODO_15,
40,TEXT_LUCKYA002_03596_TODO_16,
41,TEXT_LUCKYA002_03596_TODO_17,
42,TEXT_LUCKYA002_03596_TODO_18,
43,TEXT_LUCKYA002_03596_TODO_19,
44,TEXT_LUCKYA002_03596_TODO_20,
45,TEXT_LUCKYA002_03596_TODO_21,
46,TEXT_LUCKYA002_03596_TODO_22,
47,TEXT_LUCKYA002_03596_TODO_23,
