Index,0:？,1:？
0,TEXT_LUCKZJ012_03575_SEQ_00,{{color|id=508|特殊规则： 等级调整}}<br>砖土岛的奥特威尔好像很焦急。
1,TEXT_LUCKZJ012_03575_SEQ_01,
2,TEXT_LUCKZJ012_03575_SEQ_02,
3,TEXT_LUCKZJ012_03575_SEQ_03,
4,TEXT_LUCKZJ012_03575_SEQ_04,
5,TEXT_LUCKZJ012_03575_SEQ_05,
6,TEXT_LUCKZJ012_03575_SEQ_06,
7,TEXT_LUCKZJ012_03575_SEQ_07,
8,TEXT_LUCKZJ012_03575_SEQ_08,
9,TEXT_LUCKZJ012_03575_SEQ_09,
10,TEXT_LUCKZJ012_03575_SEQ_10,
11,TEXT_LUCKZJ012_03575_SEQ_11,
12,TEXT_LUCKZJ012_03575_SEQ_12,
13,TEXT_LUCKZJ012_03575_SEQ_13,
14,TEXT_LUCKZJ012_03575_SEQ_14,
15,TEXT_LUCKZJ012_03575_SEQ_15,
16,TEXT_LUCKZJ012_03575_SEQ_16,
17,TEXT_LUCKZJ012_03575_SEQ_17,
18,TEXT_LUCKZJ012_03575_SEQ_18,
19,TEXT_LUCKZJ012_03575_SEQ_19,
20,TEXT_LUCKZJ012_03575_SEQ_20,
21,TEXT_LUCKZJ012_03575_SEQ_21,
22,TEXT_LUCKZJ012_03575_SEQ_22,
23,TEXT_LUCKZJ012_03575_SEQ_23,
24,TEXT_LUCKZJ012_03575_TODO_00,和短发的少年对话
25,TEXT_LUCKZJ012_03575_TODO_01,获得{{EventItem|2002857|0}}
26,TEXT_LUCKZJ012_03575_TODO_02,将{{EventItem|2002857|0}}交给短发的少年
27,TEXT_LUCKZJ012_03575_TODO_03,和奥特威尔对话
28,TEXT_LUCKZJ012_03575_TODO_04,
29,TEXT_LUCKZJ012_03575_TODO_05,
30,TEXT_LUCKZJ012_03575_TODO_06,
31,TEXT_LUCKZJ012_03575_TODO_07,
32,TEXT_LUCKZJ012_03575_TODO_08,
33,TEXT_LUCKZJ012_03575_TODO_09,
34,TEXT_LUCKZJ012_03575_TODO_10,
35,TEXT_LUCKZJ012_03575_TODO_11,
36,TEXT_LUCKZJ012_03575_TODO_12,
37,TEXT_LUCKZJ012_03575_TODO_13,
38,TEXT_LUCKZJ012_03575_TODO_14,
39,TEXT_LUCKZJ012_03575_TODO_15,
40,TEXT_LUCKZJ012_03575_TODO_16,
41,TEXT_LUCKZJ012_03575_TODO_17,
42,TEXT_LUCKZJ012_03575_TODO_18,
43,TEXT_LUCKZJ012_03575_TODO_19,
44,TEXT_LUCKZJ012_03575_TODO_20,
45,TEXT_LUCKZJ012_03575_TODO_21,
46,TEXT_LUCKZJ012_03575_TODO_22,
47,TEXT_LUCKZJ012_03575_TODO_23,
48,TEXT_LUCKZJ012_03575_ORTWIL_000_000,突然打扰你实在是不好意思……<br>旅行者你擅长游泳吗？<br>我有些事想要拜托你……
49,TEXT_LUCKZJ012_03575_ORTWIL_000_001,从波浪岛往南再游一点的位置，<br>有个练习捕鱼的短发的少年，<br>我想请你把他叫回来。
50,TEXT_LUCKZJ012_03575_ORTWIL_000_002,差不多该把捕到的鱼交到中庸工艺馆的水生资源部去了。<br>由于某种原因，我不想亲自出面，<br>就想让我的儿子代替我去。
51,TEXT_LUCKZJ012_03575_ORTWIL_000_003,差不多该把捕到的鱼交到中庸工艺馆的水生资源部去了。<br>我儿子他说无论如何都想去，<br>我想就让他去吧，不过到现在他都没回来。
52,TEXT_LUCKZJ012_03575_ORTWIL_000_010,旅行者，如果你擅长游泳，<br>就往波浪岛南边游一点，<br>把那边的短发的少年叫回来吧。
53,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_020,哇！<br>我说，都溅我身上了！<br><if (<param:性别> 大姐姐) { 大哥哥 }>你游这么猛干什么？
54,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_021,我现在很忙，有事之后再说。<br>是这样的，我弄丢了父亲给我做的渔具。<br>我想潜下去捡，但是那东西越碰就沉得越深……
55,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_022,对了，如果是<if (<param:性别> 大姐姐) { 大哥哥 }>的话说不定能捡回来？！<br>我必须赶快回到父亲那里！<br>求求你，帮帮我吧！
56,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_023,谢谢你！<br>{{EventItem|2002857|0}}应该就在这正下方。<br>如果你捡到了，能拿来给我吗？
57,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_030,怎么样？捡到{{EventItem|2002857|0}}了吗？<br>难道说已经沉到<br>连<if (<param:性别> 大姐姐) { 大哥哥 }>都捡不到的地方去了？
58,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_040,怎么样？捡到{{EventItem|2002857|0}}了吗？
59,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_041,哇！是我的渔具，谢谢你！<br><if (<param:性别> 大姐姐) { 大哥哥 }>你好厉害啊，<br>简直就像是爷爷跟我说过的始源湖的妖灵一样！
60,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_042,据说这始源湖住着一个非常非常古老的妖灵！<br>相传它从沉睡中醒来时会对我们提供帮助，<br>是体型非常巨大非常厉害的妖灵！
61,TEXT_LUCKZJ012_03575_FISHERBOY03575_000_043,……哈，对了，我该回去了！<br><if (<param:性别> 大姐姐) { 大哥哥 }>也去见我父亲吧！<br>他叫奥特威尔，记得跟他打个招呼啊！
62,TEXT_LUCKZJ012_03575_ORTWIL_000_050,啊，是你啊。<br>我的儿子刚才出发前往水晶都了。<br>听说你帮他找回了丢失的渔具……真是麻烦你了。
63,TEXT_LUCKZJ012_03575_ORTWIL_000_051,这孩子有点不听话……<br>不过在这里生活，只要能喜欢捕鱼就比什么都强。<br>孩子可是宝物啊。
