key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMA110_04366_SEQ_00","中环的阿莉塞正在目视埃伦维尔离开的方向。"
1,"TEXT_AKTKMA110_04366_SEQ_01","和阿莉塞交谈，冒险者决定回到伙伴身边。和中环的雅·修特拉谈谈。"
2,"TEXT_AKTKMA110_04366_SEQ_02","回到了雅·修特拉身边发现可露儿不在了。在迷津梅丽奥尔实验农场附近寻找可露儿。"
3,"TEXT_AKTKMA110_04366_SEQ_03","借用可露儿身体的海德林托付给了冒险者一朵花。此时富尔什诺出现，一行人要被带到哲学家议会接受审问。和哲学家广场前的雅·修特拉谈谈。"
4,"TEXT_AKTKMA110_04366_SEQ_04","和雅·修特拉进行了交谈。虽然通过调查旧萨雷安以及迷津获得了不少有用的情报，但想进一步接近真相还是十分困难。"
5,"TEXT_AKTKMA110_04366_SEQ_05",""
6,"TEXT_AKTKMA110_04366_SEQ_06",""
7,"TEXT_AKTKMA110_04366_SEQ_07",""
8,"TEXT_AKTKMA110_04366_SEQ_08",""
9,"TEXT_AKTKMA110_04366_SEQ_09",""
10,"TEXT_AKTKMA110_04366_SEQ_10",""
11,"TEXT_AKTKMA110_04366_SEQ_11",""
12,"TEXT_AKTKMA110_04366_SEQ_12",""
13,"TEXT_AKTKMA110_04366_SEQ_13",""
14,"TEXT_AKTKMA110_04366_SEQ_14",""
15,"TEXT_AKTKMA110_04366_SEQ_15",""
16,"TEXT_AKTKMA110_04366_SEQ_16",""
17,"TEXT_AKTKMA110_04366_SEQ_17",""
18,"TEXT_AKTKMA110_04366_SEQ_18",""
19,"TEXT_AKTKMA110_04366_SEQ_19",""
20,"TEXT_AKTKMA110_04366_SEQ_20",""
21,"TEXT_AKTKMA110_04366_SEQ_21",""
22,"TEXT_AKTKMA110_04366_SEQ_22",""
23,"TEXT_AKTKMA110_04366_SEQ_23",""
24,"TEXT_AKTKMA110_04366_TODO_00","和雅·修特拉对话"
25,"TEXT_AKTKMA110_04366_TODO_01","寻找可露儿"
26,"TEXT_AKTKMA110_04366_TODO_02","和雅·修特拉对话"
27,"TEXT_AKTKMA110_04366_TODO_03",""
28,"TEXT_AKTKMA110_04366_TODO_04",""
29,"TEXT_AKTKMA110_04366_TODO_05",""
30,"TEXT_AKTKMA110_04366_TODO_06",""
