key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMF111_04449_SEQ_00","惊愕所的富尔什诺正在等待冒险者一行人做好准备。"
1,"TEXT_AKTKMF111_04449_SEQ_01","在富尔什诺的带领下前往了惊愕所的深处。和惊愕所的富尔什诺谈谈。"
2,"TEXT_AKTKMF111_04449_SEQ_02","在富尔什诺的带领下来到了新的星海观测设施。为了与海德林见面，前往寻因星晶镜下方。

※通过和进入点附近的同伴对话并选择编成小队，可以和非玩家同伴一同进入副本。
※和玩家一同进入时请通过任务搜索器参加。"
3,"TEXT_AKTKMF111_04449_SEQ_03","在星海深层击败了亚蒙的灵魂。朝着闪闪发光的母水晶前进。若是离开了寻因星晶镜，可以通过惊愕所的升降机再次前往寻因星晶镜。"
4,"TEXT_AKTKMF111_04449_SEQ_04","众人终于见到了海德林。作为阻止末日的条件，海德林要求众人超越他们旧时代的神。向星球的意志——海德林展现以往锻炼出的实力。

※通过和进入点附近的同伴对话并选择编成小队，可以和非玩家同伴一同进入副本。
※和玩家一同进入时请通过任务搜索器参加。"
5,"TEXT_AKTKMF111_04449_SEQ_05","打倒了海德林。和她交谈后返回迷津。"
6,"TEXT_AKTKMF111_04449_SEQ_06","海德林将梅蒂恩的行动轨迹以及用于前往那里的母水晶托付给了冒险者。和惊愕所的富尔什诺谈谈。"
7,"TEXT_AKTKMF111_04449_SEQ_07","将事情的经过告知了富尔什诺等人，冒险者将记录着梅蒂恩行动轨迹的水晶托付给了生命威。和旧萨雷安巴尔德西昂分馆的欧吉卡·岑吉卡谈谈。"
8,"TEXT_AKTKMF111_04449_SEQ_08","欧吉卡·岑吉卡慰劳了冒险者星海潜航之旅。就这样一位热爱着星球、热爱着人类的旅行者的战斗到此画上了句号。将海德林托付之物紧握在手中，光之战士下定决心去和末日做个了断。"
9,"TEXT_AKTKMF111_04449_SEQ_09",""
10,"TEXT_AKTKMF111_04449_SEQ_10",""
11,"TEXT_AKTKMF111_04449_SEQ_11",""
12,"TEXT_AKTKMF111_04449_SEQ_12",""
13,"TEXT_AKTKMF111_04449_SEQ_13",""
14,"TEXT_AKTKMF111_04449_SEQ_14",""
15,"TEXT_AKTKMF111_04449_SEQ_15",""
16,"TEXT_AKTKMF111_04449_SEQ_16",""
